"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Window","Activate Editor","F12","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Window","Previous Editor","Alt+Left","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Text Editing","Delete Line","Ctrl+L","Editing Text"
"Navigate","Last Edit Location","Shift+Ctrl+Z","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Edit","Move forward","Ctrl+Up","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","SQL Result UI Context"
"Navigate","Organize imports","Shift+Ctrl+C","Acceleo Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"File","Rename","F2","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Visual Page Editor","Jump","Shift+Ctrl+Tab","Visual Page Editor"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Navigate","Previous Page","Shift+Ctrl+F5","In Faces Config Editor"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"SQL Results View","Remove Result","Ctrl+Delete","SQL Result UI Context"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Redo","Ctrl+R","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Update","Ctrl+F5","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"View","Zoom Out","Ctrl+-","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Go to Line","Ctrl+G","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"File","New","Ctrl+N","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Views","Show View (Hierarchy)","Shift+Alt+Q T","JavaScript View"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Edit","Delete","Delete","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Search references","Shift+Ctrl+G","Acceleo Editor"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Open Spring Bean","Shift+Alt+B","In Windows"
"Navigate","Beans Quick Outline","Shift+Ctrl+O","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"Window","Next Editor","Alt+Right","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Edit","Run Query command","Ctrl+F9","Editing HQL"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Refactor - Java","Move Bean Class","Shift+Alt+V","Editing in Structured Text Editors"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Visual Page Editor","Maximize/Restore Source Part","Shift+F6","Visual Page Editor"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Views","Show View (Script Explorer)","Shift+Alt+Q P","JavaScript View"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"File","Open File...","Ctrl+Alt+O","In Windows"
"Edit","Delete From Model","Shift+Delete","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Web Page Editor Layout","Horizontal Layout","Shift+Ctrl+F10","Using Web Page Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Quick Access","Ctrl+P","In Windows"
"Refactor - Java","Rename Bean Java Elements","Shift+Alt+R","Editing in Structured Text Editors"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Override/Implement Methods","Ctrl+U","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Edit","Select Enclosing Element","Ctrl+W","Editing Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Web Page Editor Layout","Graphical Designer","Shift+Ctrl+F11","Using Web Page Editor"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Resource","Shift+Ctrl+O","In Windows"
"Text Editing","Line End","End","Editing Text"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Open Declaration","Ctrl+B","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Views","Show View ()","Shift+Alt+Q J","JavaScript View"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"File","Save All","Shift+Ctrl+S","In Windows"
"Navigate","Organize imports","Ctrl+/","Acceleo Editor"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Edit","Move to front","Ctrl+PageUp","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Text Editing","Cut Line","Ctrl+X","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Move backward","Ctrl+Down","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"File","Close All","Shift+Ctrl+Q","In Windows"
"Views","Show View ()","Shift+Alt+Q D","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Search","Spring Beans References Search","Shift+Ctrl+G","Editing in Structured Text Editors"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Run SQL","Ctrl+F9","Editing Text"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Edit","Run Criteria Command","Ctrl+F9","Editing Criteria"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Visual Page Editor","Maximize/Restore Visual Part","Shift+Alt+F6","Visual Page Editor"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Web Page Editor Layout","Vertical Layout","Shift+Ctrl+F9","Using Web Page Editor"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Web Page Editor Layout","Source Code","Shift+Ctrl+F12","Using Web Page Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"File","Close","Ctrl+Q","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Run SQL","Ctrl+F9","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Edit","Remove","Ctrl+Delete","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","SQL Result UI Context"
"File","Properties","Alt+Enter","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Text Editing","Copy Lines","Ctrl+D","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Navigate","Previous Page","Shift+Ctrl+F5","Using Web Page Editor"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"CSS Dialog","Open CSS Dialog","Shift+Ctrl+C","Editing CSS Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
